Timestamp,Role,Message
"11:21, 18.9.2023",Forscher,"Hallo und herzlich willkommen! Ich bin Mila, dein Lerncoaching Chatbot. Es ist mir eine Freude, dich auf deiner individuellen Lernreise zu unterstützen. Ich stehe für Hilfe zur Selbsthilfe. Wir werden also nicht vorgefertigte Lösungen durchgehen, sondern ich werde dich dazu ermutigen, deine eigenen Antworten zu finden. Ich bin eine Art Trainer. So wie im Sport stehe ich als Coach am Rand des Spielfeldes, der Sportler bist Du. Du machst Dein Spiel, und wir schauen darauf, was Du verbessern kannst und wie Du es verbessern kannst. Unsere gemeinsame Arbeit ist in fünf Phasen unterteilt, durch die wir Schritt für Schritt gehen werden. Solltest du währenddessen Fragen haben oder auf Probleme stoßen, wende dich gerne an den zuständigen Betreuer. Bereit? Dann lass u…"
"11:23, 18.9.2023",Teilnehmende Person,Ich kann mich nicht gut motivieren genug zu lernen
"11:24, 18.9.2023",Forscher,"Verstehe ich dich richtig, dass du deine Selbstmotivation steigern möchtest? In welchen Situationen genau tritt dieses Problem auf?"
"11:24, 18.9.2023",Teilnehmende Person,Ja das tust du. Ich kann mich nicht konzentrieren und fühle mich gehemmt zu lernen
"11:25, 18.9.2023",Forscher,"Also, du fühlst dich gehemmt beim Lernen. Was tust du normalerweise, wenn dieses Gefühl auftritt?"
"11:25, 18.9.2023",Teilnehmende Person,"Ich lenke mich ab, aber bin her stresst weil ich eigentlich lernen sollte"
"11:26, 18.9.2023",Forscher,"Du lenkst dich ab, kannst aber nicht entspannen."
"11:26, 18.9.2023",Teilnehmende Person,Genau
"11:26, 18.9.2023",Forscher,"Wie schaffst du es dann letztendlich, dich aufzuraffen, wenn es soweit ist?"
"11:27, 18.9.2023",Teilnehmende Person,"Der innere Druck wird zu hoch und ich fange an zu lernen, weil ich weiß, dass es dann etwas besser wird."
"11:28, 18.9.2023",Forscher,"Der innere Druck treibt dich also dazu an zu lernen. Kannst du beschreiben, wie sich das genau anfühlt?"
"11:28, 18.9.2023",Teilnehmende Person,Es fühlt sich an wie ein Gewicht auf meiner Brust
"11:29, 18.9.2023",Forscher,Das scheint eine Menge Energie zu erfordern.
"11:29, 18.9.2023",Teilnehmende Person,Das stimmt
"11:29, 18.9.2023",Forscher,"Wenn morgen eine gute Fee auftauchen würde und dir bei deinem Problem helfen könnte, welche Veränderungen würdest du erwarten?"
"11:31, 18.9.2023",Teilnehmende Person,"Ich würde hoffen, dass sie mir zu mehr Antrieb verhilft und ich mich besser konzentrieren kann"
"11:32, 18.9.2023",Forscher,"Es scheint, als ob dir dieser Antrieb und die Fähigkeit, dich zu konzentrieren, wichtig sind."
"11:32, 18.9.2023",Forscher,"Auf einer Skala von 1 bis 10, wie wichtig ist dieses Thema für dich?"
"11:33, 18.9.2023",Teilnehmende Person,Die Fähigkeit wäre auf jeden Fall sehr helfend für mein Studium. Ich würde sagen eine 7
"11:33, 18.9.2023",Forscher,"Also eine 7. Wie ich sehe, ist das Thema wichtig für dich. Ist es für dich in Ordnung, wenn wir auf Basis dieses Themas ein konkretes Ziel für dich formulieren?"
"11:33, 18.9.2023",Teilnehmende Person,Ja
"11:33, 18.9.2023",Forscher,"Ich möchte nun mit dir ein Ziel formulieren. Zielformulierung im Lerncoaching bietet Klarheit, fördert die Motivation und ermöglicht eine messbare Überwachung des Fortschritts.  Hört sich das gut an?"
"11:33, 18.9.2023",Teilnehmende Person,Ja
"11:33, 18.9.2023",Forscher,"Super! Um ein Ziel genau formulieren zu können möchte ich mit dir die SMART – Regel verwenden. SMART ist ein Akronym und steht für: Spezifisch, Messbar, Anspruchsvoll/Attraktiv, Realistisch und Terminiert. Lass uns die einzelnen Schritte einmal gemeinsam durchgehen."
"11:34, 18.9.2023",Forscher,1.	Was genau möchtest du in deinen eigenen Worten erreichen?
"11:34, 18.9.2023",Teilnehmende Person,Ich möchte erreichen meine Ansprüche zu erfüllen und zufrieden damit zu sein
"11:35, 18.9.2023",Forscher,"2.	Woran würdest du merken, dass du dein Ziel erreicht hast?"
"11:35, 18.9.2023",Teilnehmende Person,Wenn ich zufrieden bin mit meiner Leistung
"11:36, 18.9.2023",Forscher,Könntest du das bitte konkretisieren? Wann genau bist du mit deiner Leistung zufrieden?
"11:37, 18.9.2023",Teilnehmende Person,"Ich bin zufrieden wenn ich mich sicher fühle mit dem gelernten und mein Wissen so gut wie möglich vermitteln kann, wenn es abgefragt wird"
"11:37, 18.9.2023",Forscher,Du möchtest also die Sciherheit haben. Welche Gefühle enstehen wenn diese Sicheheit fehlt?
"11:38, 18.9.2023",Teilnehmende Person,Angst
"11:39, 18.9.2023",Forscher,"Ich verstehe. Ist es dir deshalb wichtig, das Ziel zu erreichen?"
"11:39, 18.9.2023",Teilnehmende Person,Ich möchte einfach schaffen was ich mir vorgenommen habe
"11:40, 18.9.2023",Forscher,"Ich verstehe, danke. Dann zur nächsten Frage: Bis wann möchtest du dein Ziel erreicht haben?"
"11:40, 18.9.2023",Teilnehmende Person,Bis nächsten Monat
"11:41, 18.9.2023",Forscher,"Basierend auf den Informationen, die du mir gegeben hast, scheint das Ziel realistisch zu sein?"
"11:41, 18.9.2023",Teilnehmende Person,Ja
"11:41, 18.9.2023",Forscher,"Vielen Dank für deine Antworten! Lass uns nun die gesammelten Informationen in einem oder maximal zwei Sätzen zusammenfassen. Hier ist ein Beispiel für dich:  Innerhalb der nächsten sechs Monate strebe ich an, durch regelmäßiges Üben und basierend auf meinen Grundkenntnissen (spezifisch), einen fließenden fünfminütigen Vortrag auf Spanisch zu halten (messbar), um im nächsten Urlaub in Spanien selbstbewusst kommunizieren zu können (anspruchsvoll und attraktiv), mit der Grundlage meiner aktuellen Kenntnisse (realistisch). Bitte schreibe nun dein eigenes konkretes SMARTes Ziel auf. Wenn du Unterstützung brauchst, kannst du dies gerne äußern."
"11:45, 18.9.2023",Teilnehmende Person,"Innerhalb der nächsten 6 Monate strebe ich an durch konsequentes zielgerichtetes lernen meine Prüfungen zu absolvieren, ansprechende Noten zu erhalten, um mein Studium zufriedenstellend abschließen zu können und mein persönliches Ziel zu erreichen."
"11:45, 18.9.2023",Forscher,Wie würdest du das Konzept des zielgerichteten Lernens beschreiben?
"11:46, 18.9.2023",Teilnehmende Person,Konsequent zu sein
"11:46, 18.9.2023",Forscher,Was bedeutet für dich das Wort konsequent?
"11:47, 18.9.2023",Teilnehmende Person,"Jeden Tag so viel zu schaffen, dass es mich zufriedenstellt und ich einen Fortschritt feststellen kann. Dadurch wird meine Angst verringert, weil ich sehe dass das Ziel erreichbar ist die Prüfung erfolgreich zu absolvieren."
"11:47, 18.9.2023",Forscher,"Prima! Ich danke dir für deine aktive Mitarbeit. Zum Abschluss besprechen wir gemeinsam, wie du dein definiertes Ziel in die Praxis umsetzen kannst.Wie kannst du dein formuliertes Ziel im Alltag umsetzen? Was wäre ein erster kleiner Schritt?"
"11:48, 18.9.2023",Teilnehmende Person,Mir eine Grenze setzen wie viel ich am Tag schaffen will
"11:48, 18.9.2023",Forscher,"Ich verstehe, du möchtest dir für den Tag eine Begrenzung setzen."
"11:49, 18.9.2023",Teilnehmende Person,Ja was ich mindestens schaffen will
"11:49, 18.9.2023",Forscher,Was wäre zu Beginn realistisch als tägliche Begrenzung?
"11:49, 18.9.2023",Teilnehmende Person,Mindestens 2 Vorlesungen zusammenzufassen
"11:50, 18.9.2023",Forscher,"Welche Ressourcen könntest du nutzen, um dieses Ziel zu erreichen? Gibt es Menschen, die dir dabei helfen könnten? Gibt es Möglichkeiten, wie du Energie tanken könntest?"
"11:50, 18.9.2023",Teilnehmende Person,Mir fällt nichts ein
"11:51, 18.9.2023",Forscher,Das ist in Ordnung.
"11:51, 18.9.2023",Forscher,"Wenn du dir vorstellst, dass die Prüfung morgen vorbei ist und du es ohne Druck geschafft hast, wie fühlst du dich in dieser Vorstellung?"
"11:51, 18.9.2023",Teilnehmende Person,Erleichtert
"11:52, 18.9.2023",Forscher,Das klingt nach einem schönen Ergebnis.
"11:52, 18.9.2023",Teilnehmende Person,Das wäre es
"11:52, 18.9.2023",Forscher,"Vielen Dank für deine Lösungsvorschläge. Ich wünsche dir viel Erfolg bei der Umsetzung deines Zieles! Zum Schluss möchte ich unsere gemeinsame Arbeit zusammenfassen. Wir haben gemeinsam dein Anliegen herausgefunden und so dein persönliches Ziel formuliert: „Innerhalb der nächsten 6 Monate strebe ich an durch konsequentes zielgerichtetes lernen meine Prüfungen zu absolvieren, ansprechende Noten zu erhalten, um mein Studium zufriedenstellend abschließen zu können und mein persönliches Ziel zu erreichen.“. Auf Basis dieses Zieles hast du schon Ideen präsentiert, wie man das Ziel im Alltag umsetzen kann. Hast du zum Abschluss noch einen Wunsch oder Feedback an mich?"
"11:54, 18.9.2023",Teilnehmende Person,Wie schaffe ich mich zu motivieren mein lernziel pro Tag zu erreichen?
"11:54, 18.9.2023",Forscher,User Wie konntest du dich in der Vergangenheit motivieren?
"11:55, 18.9.2023",Teilnehmende Person,"Der Druck wurde so extrem dass ich einfach lernen musste, um nicht vor Angst zu sterben"
"11:55, 18.9.2023",Forscher,"Ich verstehe, die Angst scheint ein großen Aspekt zu spielen. Lähmt sie dich auch in deinem Lernen?"
"11:56, 18.9.2023",Teilnehmende Person,Ja sie ist antrieb und Ablenkung zu gleich
"11:57, 18.9.2023",Forscher,"Verstehe, könnte das auch als eine Ressource betrachtet werden?"
"11:57, 18.9.2023",Teilnehmende Person,Vielleicht
"11:58, 18.9.2023",Forscher,"Gibt es Lernstrategien, die du verwendest um dich besser motivieren zu können?"
"11:58, 18.9.2023",Teilnehmende Person,Nein
"11:59, 18.9.2023",Forscher,Fällt die dazu etwas ein? Was könntest du tun?
