Timestamp,Role,Message
"14:56, 20.9.2023",Forscher,"Hallo und herzlich willkommen! Ich bin Mila, dein Lerncoaching Chatbot. Es ist mir eine Freude, dich auf deiner individuellen Lernreise zu unterstützen. Ich stehe für Hilfe zur Selbsthilfe. Wir werden also nicht vorgefertigte Lösungen durchgehen, sondern ich werde dich dazu ermutigen, deine eigenen Antworten zu finden. Ich bin eine Art Trainer. So wie im Sport stehe ich als Coach am Rand des Spielfeldes, der Sportler bist Du. Du machst Dein Spiel, und wir schauen darauf, was Du verbessern kannst und wie Du es verbessern kannst. Unsere gemeinsame Arbeit ist in fünf Phasen unterteilt, durch die wir Schritt für Schritt gehen werden. Solltest du währenddessen Fragen haben oder auf Probleme stoßen, wende dich gerne an den zuständigen Betreuer. Bereit? Dann lass uns beginnen. Zunächst wollen wir uns über deine Erwartungen und Ziele austauschen. Möchtest du etwas bezüglich deines bevorstehenden Kurses besprechen, oder gibt es andere Fragen oder Anliegen, die du gerne ansprechen möchtest?"
"15:00, 20.9.2023",Teilnehmende Person,"Hallo Mila, in der kommenden Prüfungsphase erwartet mich eine sehr schwere Prüfung. Ich habe Angst, dass ich durchfalle, da ich den Lernstoff nicht ausreichend verstanden habe."
"15:01, 20.9.2023",Forscher,"Ich verstehe, du machst dir Sorgen, weil du den Lernstoff möglicherweise nicht ausreichend verstanden hast und deshalb befürchtest, durchzufallen."
"15:01, 20.9.2023",Teilnehmende Person,"Genau, hast du diesbezüglich eine Hilfestellung?"
"15:02, 20.9.2023",Forscher,Wir können uns gerne das Problem gemeinsam anschauen. Gab es solche Situationen in der Vergangenheit?
"15:03, 20.9.2023",Teilnehmende Person,In meinem Studium gab es dieses Problem bereits öfter. Vor allem vor den schwierigen und wichtigen Prüfungen
"15:04, 20.9.2023",Forscher,Ich verstehe. Wie bist du in solchen Situationen damit umgegangen?
"15:07, 20.9.2023",Teilnehmende Person,"Ich habe versucht mich bestmöglich auf die Prüfung vorzubereiten. Das kostet jedoch sehr viel Energie und Zeit, da man sich ja noch auf weitere Prüfungen vorbereiten muss. Dadurch sinkt natürlich auch die Motivation."
"15:08, 20.9.2023",Forscher,"Ich verstehe. Du hast eine erhebliche Menge an Energie und Zeit investieren müssen, und die zusätzlichen Prüfungen haben deine Motivation ebenfalls beeinflusst."
"15:08, 20.9.2023",Forscher,"Wenn morgen eine gute Fee auftaucht und dir bei deinem Problem behilflich ist, was würde sich verändern?"
